original_reactions,updated_reaction,mechanistic_class,mechanistic_label,data_source
O=[CH:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[NH:15][CH2:16][CH2:17][CH2:18][C@H:19]([NH2:20])[C:21](=[O:22])[OH:23]>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[NH:20][C@@H:19]([CH2:18][CH2:17][CH2:16][NH:15][C:13]([O:12][C:9]([CH3:8])([CH3:10])[CH3:11])=[O:14])[C:21](=[O:22])[OH:23],[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[NH:15][CH2:16][CH2:17][CH2:18][C@H:19]([NH2:20])[C:21](=[O:22])[OH:23].[O:101]=[CH:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[H+:301].[BH3-:302]C#N.[Na+]>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[NH:20][C@@H:19]([CH2:18][CH2:17][CH2:16][NH:15][C:13]([O:12][C:9]([CH3:8])([CH3:10])[CH3:11])=[O:14])[C:21](=[O:22])[OH:23],reductive_amination,"[(20, 1), ([1, 101], 301), (101, 20.1), ([20.1, 20], 20), (20, [20, 1]), ([1, 101], 101), ([302, 302.1], 1), ([1, 20], 20)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[c:1]1[c:2]([C:3]([O:4][CH3:5])=[O:6])[c:7]([O:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]([CH3:14])[cH:15][c:16]2[CH3:17])[n:18][c:19]([CH3:20])[cH:21]1.[CH3:22][CH2:23][CH:24]([NH2:25])[CH:26]([CH3:27])[OH:28]>>[c:1]1([NH:25][CH:24]([CH2:23][CH3:22])[CH:26]([CH3:27])[OH:28])[c:2]([C:3]([O:4][CH3:5])=[O:6])[c:7]([O:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]([CH3:14])[cH:15][c:16]2[CH3:17])[n:18][c:19]([CH3:20])[cH:21]1,[Cl:101][c:1]1[c:2]([C:3]([O:4][CH3:5])=[O:6])[c:7]([O:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]([CH3:14])[cH:15][c:16]2[CH3:17])[n:18][c:19]([CH3:20])[cH:21]1.[CH3:22][CH2:23][CH:24]([NH2:25])[CH:26]([CH3:27])[OH:28]>>[c:1]1([NH:25][CH:24]([CH2:23][CH3:22])[CH:26]([CH3:27])[OH:28])[c:2]([C:3]([O:4][CH3:5])=[O:6])[c:7]([O:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]([CH3:14])[cH:15][c:16]2[CH3:17])[n:18][c:19]([CH3:20])[cH:21]1,SNAr(ortho),"[(25, 1), ([1, 2], [2, 3]), ([3, 6], 6), (6, [6, 3]), ([3, 2], [2, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Br[CH2:1][C:2]([O:3][CH2:4][CH3:5])=[O:6].[OH:7][c:8]1[cH:9][cH:10][cH:11][c:12]([NH:13][CH2:14][c:15]2[cH:16][c:17](-[c:18]3[cH:19][cH:20][cH:21][c:22]([F:23])[cH:24]3)[cH:25][cH:26][c:27]2[F:28])[cH:29]1>>[CH2:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])[O:7][c:8]1[cH:9][cH:10][cH:11][c:12]([NH:13][CH2:14][c:15]2[cH:16][c:17](-[c:18]3[cH:19][cH:20][cH:21][c:22]([F:23])[cH:24]3)[cH:25][cH:26][c:27]2[F:28])[cH:29]1,[OH:7][c:8]1[cH:9][cH:10][cH:11][c:12]([NH:13][CH2:14][c:15]2[cH:16][c:17](-[c:18]3[cH:19][cH:20][cH:21][c:22]([F:23])[cH:24]3)[cH:25][cH:26][c:27]2[F:28])[cH:29]1.[Br:101][CH2:1][C:2]([O:3][CH2:4][CH3:5])=[O:6].[H-:301].[Na+]>>[CH2:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])[O:7][c:8]1[cH:9][cH:10][cH:11][c:12]([NH:13][CH2:14][c:15]2[cH:16][c:17](-[c:18]3[cH:19][cH:20][cH:21][c:22]([F:23])[cH:24]3)[cH:25][cH:26][c:27]2[F:28])[cH:29]1,SN2_alcohol(thiol),"[(301, 7.1), ([7.1, 7], 7), (7, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][cH:6][c:7]([Br:8])[cH:9]1.[CH3:10][CH:11]([CH3:12])[NH:13][CH2:14][CH2:15][OH:16]>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][c:7]([Br:8])[cH:9]1)[N:13]([CH:11]([CH3:10])[CH3:12])[CH2:14][CH2:15][OH:16],[Cl:101][C:1](=[O:2])[c:3]1[cH:4][cH:5][cH:6][c:7]([Br:8])[cH:9]1.[CH3:10][CH:11]([CH3:12])[NH:13][CH2:14][CH2:15][OH:16]>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][c:7]([Br:8])[cH:9]1)[N:13]([CH:11]([CH3:10])[CH3:12])[CH2:14][CH2:15][OH:16],nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(13, 1), ([1, 2], 2), (2, [2, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
F[c:1]1[cH:2][cH:3][c:4]([C:5]#[N:6])[c:7]([Cl:8])[cH:9]1.[OH:10][CH2:11][c:12]1[s:13][c:14](-[c:15]2[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[n:23][cH:24]2)[n:25][c:26]1[CH2:27][CH2:28][CH2:29][O:30][CH2:31][c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1>>[c:1]1([O:10][CH2:11][c:12]2[s:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[n:23][cH:24]3)[n:25][c:26]2[CH2:27][CH2:28][CH2:29][O:30][CH2:31][c:32]2[cH:33][cH:34][cH:35][cH:36][cH:37]2)[cH:2][cH:3][c:4]([C:5]#[N:6])[c:7]([Cl:8])[cH:9]1,[OH:10][CH2:11][c:12]1[s:13][c:14](-[c:15]2[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[n:23][cH:24]2)[n:25][c:26]1[CH2:27][CH2:28][CH2:29][O:30][CH2:31][c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1.[F:101][c:1]1[cH:2][cH:3][c:4]([C:5]#[N:6])[c:7]([Cl:8])[cH:9]1.[H-:301].[Na+]>>[c:1]1([O:10][CH2:11][c:12]2[s:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[n:23][cH:24]3)[n:25][c:26]2[CH2:27][CH2:28][CH2:29][O:30][CH2:31][c:32]2[cH:33][cH:34][cH:35][cH:36][cH:37]2)[cH:2][cH:3][c:4]([C:5]#[N:6])[c:7]([Cl:8])[cH:9]1,SNAr_alco(thi)ol(para),"[(301, 10.1), ([10.1, 10], 10), (10, 1), ([1, 9], [9, 7]), ([7, 4], [4, 5]), ([5, 6], 6), (6, [6, 5]), ([5, 4], [4, 7]), ([7, 9], [9, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
C[O:1][c:2]1[cH:3][c:4]2[o:5][cH:6][c:7]([C:8]([O:9][CH2:10][CH3:11])=[O:12])[c:13]2[cH:14][cH:15]1>>[OH:1][c:2]1[cH:3][c:4]2[o:5][cH:6][c:7]([C:8]([O:9][CH2:10][CH3:11])=[O:12])[c:13]2[cH:14][cH:15]1,[CH3:101][O:1][c:2]1[cH:3][c:4]2[o:5][cH:6][c:7]([C:8]([O:9][CH2:10][CH3:11])=[O:12])[c:13]2[cH:14][cH:15]1.Br[B:301](Br)[Br:302].[OH2:303]>>[OH:1][c:2]1[cH:3][c:4]2[o:5][cH:6][c:7]([C:8]([O:9][CH2:10][CH3:11])=[O:12])[c:13]2[cH:14][cH:15]1,O_demethylation,"[(1, 301), ([301, 302], 302), (302, 101), ([101, 1], 1), (303, 301), ([301, 1], 1)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O=[CH:1][CH2:2][C:3]([CH3:4])([CH3:5])[CH3:6].[CH3:7][C:8](=[O:9])[O:10][CH2:11][C:12](=[O:13])[C@@:14]12[CH2:15][NH:16][CH2:17][C@@H:18]1[CH2:19][C@H:20]1[C@@H:21]3[CH2:22][C@H:23]([F:24])[C:25]4=[CH:26][C:27](=[O:28])[CH:29]=[CH:30][C@:31]4([CH3:32])[C@@:33]3([F:34])[C@@H:35]([OH:36])[CH2:37][C@:38]21[CH3:39]>>[CH2:1]([CH2:2][C:3]([CH3:4])([CH3:5])[CH3:6])[N:16]1[CH2:15][C@:14]2([C:12]([CH2:11][O:10][C:8]([CH3:7])=[O:9])=[O:13])[C@H:18]([CH2:17]1)[CH2:19][C@H:20]1[C@@H:21]3[CH2:22][C@H:23]([F:24])[C:25]4=[CH:26][C:27](=[O:28])[CH:29]=[CH:30][C@:31]4([CH3:32])[C@@:33]3([F:34])[C@@H:35]([OH:36])[CH2:37][C@:38]21[CH3:39],[CH3:7][C:8](=[O:9])[O:10][CH2:11][C:12](=[O:13])[C@@:14]12[CH2:15][NH:16][CH2:17][C@@H:18]1[CH2:19][C@H:20]1[C@@H:21]3[CH2:22][C@H:23]([F:24])[C:25]4=[CH:26][C:27](=[O:28])[CH:29]=[CH:30][C@:31]4([CH3:32])[C@@:33]3([F:34])[C@@H:35]([OH:36])[CH2:37][C@:38]21[CH3:39].[O:101]=[CH:1][CH2:2][C:3]([CH3:4])([CH3:5])[CH3:6].[H+:301].[BH3-:302]C#N.[Na+]>>[CH2:1]([CH2:2][C:3]([CH3:4])([CH3:5])[CH3:6])[N:16]1[CH2:15][C@:14]2([C:12]([CH2:11][O:10][C:8]([CH3:7])=[O:9])=[O:13])[C@H:18]([CH2:17]1)[CH2:19][C@H:20]1[C@@H:21]3[CH2:22][C@H:23]([F:24])[C:25]4=[CH:26][C:27](=[O:28])[CH:29]=[CH:30][C@:31]4([CH3:32])[C@@:33]3([F:34])[C@@H:35]([OH:36])[CH2:37][C@:38]21[CH3:39],reductive_amination,"[(16, 1), ([1, 101], 301), (101, 16.1), ([16.1, 16], 16), (16, [16, 1]), ([1, 101], 101), ([302, 302.1], 1), ([1, 16], 16)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[CH:1]1[c:2]2[c:3]([cH:4][cH:5][cH:6][cH:7]2)[C:8](=[O:9])[N:10]1[c:11]1[cH:12][cH:13][c:14]2[cH:15][cH:16][c:17]([Cl:18])[n:19][c:20]2[n:21]1.[O:22]=[C:23]1[CH2:24][CH2:25][CH:26]([C:27](=[O:28])[OH:29])[NH:30]1>>[CH:1]1([O:29][C:27]([CH:26]2[CH2:25][CH2:24][C:23](=[O:22])[NH:30]2)=[O:28])[c:2]2[c:3]([cH:4][cH:5][cH:6][cH:7]2)[C:8](=[O:9])[N:10]1[c:11]1[cH:12][cH:13][c:14]2[cH:15][cH:16][c:17]([Cl:18])[n:19][c:20]2[n:21]1,[Cl:101][CH:1]1[c:2]2[c:3]([cH:4][cH:5][cH:6][cH:7]2)[C:8](=[O:9])[N:10]1[c:11]1[cH:12][cH:13][c:14]2[cH:15][cH:16][c:17]([Cl:18])[n:19][c:20]2[n:21]1.[O:22]=[C:23]1[CH2:24][CH2:25][CH:26]([C:27](=[O:28])[OH:29])[NH:30]1>>[CH:1]1([O:29][C:27]([CH:26]2[CH2:25][CH2:24][C:23](=[O:22])[NH:30]2)=[O:28])[c:2]2[c:3]([cH:4][cH:5][cH:6][cH:7]2)[C:8](=[O:9])[N:10]1[c:11]1[cH:12][cH:13][c:14]2[cH:15][cH:16][c:17]([Cl:18])[n:19][c:20]2[n:21]1,SN1,"[([1, 101], 101), (29, 1)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1]([C@@H:2]([CH3:3])[OH:4])=[O:5].[CH3:6][CH2:7][c:8]1[n:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[n:16]1-[c:17]1[n:18][c:19]([N:20]2[CH2:21][CH2:22][O:23][CH2:24][CH2:25]2)[c:26]2[n:27][c:28]([CH2:29][N:30]3[CH2:31][CH2:32][NH:33][CH2:34][C:35]3([CH3:36])[CH3:37])[n:38]([CH3:39])[c:40]2[n:41]1>>[C:1]([C@@H:2]([CH3:3])[OH:4])(=[O:5])[N:33]1[CH2:32][CH2:31][N:30]([CH2:29][c:28]2[n:27][c:26]3[c:19]([N:20]4[CH2:21][CH2:22][O:23][CH2:24][CH2:25]4)[n:18][c:17](-[n:16]4[c:8]([CH2:7][CH3:6])[n:9][c:10]5[cH:11][cH:12][cH:13][cH:14][c:15]45)[n:41][c:40]3[n:38]2[CH3:39])[C:35]([CH3:36])([CH3:37])[CH2:34]1,[CH3:6][CH2:7][c:8]1[n:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[n:16]1-[c:17]1[n:18][c:19]([N:20]2[CH2:21][CH2:22][O:23][CH2:24][CH2:25]2)[c:26]2[n:27][c:28]([CH2:29][N:30]3[CH2:31][CH2:32][NH:33][CH2:34][C:35]3([CH3:36])[CH3:37])[n:38]([CH3:39])[c:40]2[n:41]1.[OH:101][C:1]([C@@H:2]([CH3:3])[OH:4])=[O:5].[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1]([C@@H:2]([CH3:3])[OH:4])(=[O:5])[N:33]1[CH2:32][CH2:31][N:30]([CH2:29][c:28]2[n:27][c:26]3[c:19]([N:20]4[CH2:21][CH2:22][O:23][CH2:24][CH2:25]4)[n:18][c:17](-[n:16]4[c:8]([CH2:7][CH3:6])[n:9][c:10]5[cH:11][cH:12][cH:13][cH:14][c:15]45)[n:41][c:40]3[n:38]2[CH3:39])[C:35]([CH3:36])([CH3:37])[CH2:34]1,DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (33, 1), ([1, 5], 5), (303, 33.1), ([33.1, 33], 33), (5, [5, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Br[CH2:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([N+:7](=[O:8])[O-:9])[cH:10][cH:11]1.[CH3:12][NH:13][CH3:14]>>[CH2:1]([CH2:2][c:3]1[cH:4][cH:5][c:6]([N+:7](=[O:8])[O-:9])[cH:10][cH:11]1)[N:13]([CH3:12])[CH3:14],[Br:101][CH2:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([N+:7](=[O:8])[OH:9])[cH:10][cH:11]1.[CH3:12][NH:13][CH3:14]>>[CH2:1]([CH2:2][c:3]1[cH:4][cH:5][c:6]([N+:7](=[O:8])[OH:9])[cH:10][cH:11]1)[N:13]([CH3:12])[CH3:14],SN2,"[(13, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[OH:1][CH2:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]1[Cl:10]>>[O:1]=[CH:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]1[Cl:10],[OH:1][CH2:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]1[Cl:10].[Cl:301][C:302](=[O:303])[C:304](=[O:305])[Cl:306].[CH3:307][S:308](=[O:309])C.CC[N:310](CC)CC>>[O:1]=[CH:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]1[Cl:10],Swern_oxidation,"[([308, 309], 304), ([304, 305], 305), (305, [305, 304]), ([304, 306], 306), (306, 308), ([308, 309], [309, 304]), ([304, 302], 302), ([302, 301], 301), (1, 308), ([308, 306], 306), (306, 1.1), ([1.1, 1], 1), (310, 307.1), ([307.1, 307], 307), (301, 310.1), ([310.1, 310], 310), (307, 2.1), ([2.1, 2], [2, 1]), ([1, 308], 308)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1]([c:2]1[cH:19][cH:18][c:5](-[c:6]2[c:7]([CH3:8])[nH:9][c:10]([C:11]([O:12][CH2:13][CH3:14])=[O:15])[c:16]2[CH3:17])[cH:4][cH:3]1)=[O:20].[N:21]#[C:22][c:23]1[cH:24][cH:25][c:26]([NH2:27])[cH:28][cH:29]1>>[C:1]([c:2]1[cH:3][cH:4][c:5](-[c:6]2[c:7]([CH3:8])[nH:9][c:10]([C:11]([O:12][CH2:13][CH3:14])=[O:15])[c:16]2[CH3:17])[cH:18][cH:19]1)(=[O:20])[NH:27][c:26]1[cH:25][cH:24][c:23]([C:22]#[N:21])[cH:29][cH:28]1,[OH:101][C:1]([c:2]1[cH:3][cH:4][c:5](-[c:6]2[c:7]([CH3:8])[nH:9][c:10]([C:11]([O:12][CH2:13][CH3:14])=[O:15])[c:16]2[CH3:17])[cH:18][cH:19]1)=[O:20].[N:21]#[C:22][c:23]1[cH:24][cH:25][c:26]([NH2:27])[cH:28][cH:29]1.[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1]([c:2]1[cH:3][cH:4][c:5](-[c:6]2[c:7]([CH3:8])[nH:9][c:10]([C:11]([O:12][CH2:13][CH3:14])=[O:15])[c:16]2[CH3:17])[cH:18][cH:19]1)(=[O:20])[NH:27][c:26]1[cH:25][cH:24][c:23]([C:22]#[N:21])[cH:29][cH:28]1,DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (27, 1), ([1, 20], 20), (303, 27.1), ([27.1, 27], 27), (20, [20, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Br[CH2:1][CH:2]=[CH2:3].[O:4]=[C:5]1[NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][c:16]2[C:17]2=[N:18][CH2:19][CH2:20][CH2:21][N:22]12>>[CH2:1]([CH:2]=[CH2:3])[N:6]1[C:5](=[O:4])[N:22]2[C:17](=[N:18][CH2:19][CH2:20][CH2:21]2)[c:16]2[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]2,[O:4]=[C:5]1[NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][c:16]2[C:17]2=[N:18][CH2:19][CH2:20][CH2:21][N:22]12.[Br:101][CH2:1][CH:2]=[CH2:3]>>[CH2:1]([CH:2]=[CH2:3])[N:6]1[C:5](=[O:4])[N:22]2[C:17](=[N:18][CH2:19][CH2:20][CH2:21]2)[c:16]2[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]2,SN2,"[(6, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1]([C@@H:2]1[CH2:3][C@H:4]([N:5]([CH2:6][CH:7]([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]2[cH:13][n:14][c:15]([C:16]([CH3:18])([CH3:19])[CH3:17])[n:20][c:21]2[NH:22][CH2:23][c:24]2[n:25][cH:26][cH:27][o:28]2)[CH2:29][N:30]([C:31](=[O:32])[O:33][C:34]([CH3:35])([CH3:36])[CH3:37])[CH2:38]1)=[O:39].[CH2:40]1[CH2:41][O:42][CH2:43][CH2:44][NH:45]1>>[C:1]([C@@H:2]1[CH2:3][C@H:4]([N:5]([CH2:6][CH:7]([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]2[cH:13][n:14][c:15]([C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[NH:22][CH2:23][c:24]2[n:25][cH:26][cH:27][o:28]2)[CH2:29][N:30]([C:31](=[O:32])[O:33][C:34]([CH3:35])([CH3:36])[CH3:37])[CH2:38]1)(=[O:39])[N:45]1[CH2:40][CH2:41][O:42][CH2:43][CH2:44]1,[OH:101][C:1]([C@@H:2]1[CH2:3][C@H:4]([N:5]([CH2:6][CH:7]([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]2[cH:13][n:14][c:15]([C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[NH:22][CH2:23][c:24]2[n:25][cH:26][cH:27][o:28]2)[CH2:29][N:30]([C:31](=[O:32])[O:33][C:34]([CH3:35])([CH3:36])[CH3:37])[CH2:38]1)=[O:39].[CH2:40]1[CH2:41][O:42][CH2:43][CH2:44][NH:45]1.[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1]([C@@H:2]1[CH2:3][C@H:4]([N:5]([CH2:6][CH:7]([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]2[cH:13][n:14][c:15]([C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[NH:22][CH2:23][c:24]2[n:25][cH:26][cH:27][o:28]2)[CH2:29][N:30]([C:31](=[O:32])[O:33][C:34]([CH3:35])([CH3:36])[CH3:37])[CH2:38]1)(=[O:39])[N:45]1[CH2:40][CH2:41][O:42][CH2:43][CH2:44]1,DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (45, 1), ([1, 39], 39), (303, 45.1), ([45.1, 45], 45), (39, [39, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O=[C:1]([CH2:2][O:3][C:4]([CH3:5])=[O:6])[CH:7]1[C:8](=O)[CH2:9][C:10]([CH3:11])([CH3:12])[CH2:13][C:14]1=[O:15].[N:16]#[C:17][c:18]1[cH:19][cH:20][c:21]([NH:22][NH2:23])[cH:24][c:25]1[NH:26][CH:27]1[CH2:28][CH2:29][CH:30]([OH:31])[CH2:32][CH2:33]1>>[c:1]1([CH2:2][O:3][C:4]([CH3:5])=[O:6])[c:7]2[c:8]([n:22](-[c:21]3[cH:20][cH:19][c:18]([C:17]#[N:16])[c:25]([NH:26][CH:27]4[CH2:28][CH2:29][CH:30]([OH:31])[CH2:32][CH2:33]4)[cH:24]3)[n:23]1)[CH2:9][C:10]([CH3:11])([CH3:12])[CH2:13][C:14]2=[O:15],[N:16]#[C:17][c:18]1[cH:19][cH:20][c:21]([NH:22][NH2:23])[cH:24][c:25]1[NH:26][CH:27]1[CH2:28][CH2:29][CH:30]([OH:31])[CH2:32][CH2:33]1.[O:101]=[C:1]([CH2:2][O:3][C:4]([CH3:5])=[O:6])[CH:7]1[C:8](=[O:102])[CH2:9][C:10]([CH3:11])([CH3:12])[CH2:13][C:14]1=[O:15].[H+:301].[H+:302]>>[c:1]1([CH2:2][O:3][C:4]([CH3:5])=[O:6])[c:7]2[c:8]([n:22](-[c:21]3[cH:20][cH:19][c:18]([C:17]#[N:16])[c:25]([NH:26][CH:27]4[CH2:28][CH2:29][CH:30]([OH:31])[CH2:32][CH2:33]4)[cH:24]3)[n:23]1)[CH2:9][C:10]([CH3:11])([CH3:12])[CH2:13][C:14]2=[O:15],Knorr_pyrazole_synthesis,"[(22, 8), ([8, 102], 301), (102, 22.1), ([22.1, 22], 22), (22, [22, 8]), ([8, 102], 102), (23, 1), ([1, 101], 302), (101, 23.1), ([23.1, 23], 23), (23, [23, 1]), ([1, 101], 101), ([7.1, 7], [7, 1]), ([1, 23], 23)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Br[CH2:2][CH2:3][CH2:4][O:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[OH:12][C:13]([c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][cH:20]1)([c:21]1[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]1)[C:28]12[CH2:29][CH2:30][N:31]([CH2:32][CH2:33]1)[CH2:34][CH2:35]2>>[CH2:2]([CH2:3][CH2:4][O:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[N+:31]12[CH2:30][CH2:29][C:28]([C:13]([OH:12])([c:14]3[cH:15][cH:16][c:17]([F:18])[cH:19][cH:20]3)[c:21]3[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]3)([CH2:33][CH2:32]1)[CH2:35][CH2:34]2,[OH:12][C:13]([c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][cH:20]1)([c:21]1[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]1)[C:28]12[CH2:29][CH2:30][N:31]([CH2:32][CH2:33]1)[CH2:34][CH2:35]2.[Br:101][CH2:2][CH2:3][CH2:4][O:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[CH2:2]([CH2:3][CH2:4][O:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[N+:31]12[CH2:30][CH2:29][C:28]([C:13]([OH:12])([c:14]3[cH:15][cH:16][c:17]([F:18])[cH:19][cH:20]3)[c:21]3[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]3)([CH2:33][CH2:32]1)[CH2:35][CH2:34]2,SN2,"[(31, 2), ([2, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1]([c:2]1[cH:3][c:4]([CH3:5])[c:6]([C:7](=[O:8])[N:9]2[CH2:10][CH2:11][CH2:12][CH2:13]2)[cH:14][cH:15]1)=[O:16].[NH2:17][C@@H:18]([CH2:19][CH2:20][c:21]1[n:22][n:23][n:24][nH:25]1)[c:26]1[n:27][c:28]2[cH:29][c:30]([Cl:31])[cH:32][cH:33][c:34]2[nH:35]1>>[C:1]([c:2]1[cH:3][c:4]([CH3:5])[c:6]([C:7](=[O:8])[N:9]2[CH2:10][CH2:11][CH2:12][CH2:13]2)[cH:14][cH:15]1)(=[O:16])[NH:17][C@@H:18]([CH2:19][CH2:20][c:21]1[n:22][n:23][n:24][nH:25]1)[c:26]1[n:27][c:28]2[cH:29][c:30]([Cl:31])[cH:32][cH:33][c:34]2[nH:35]1,[NH2:17][C@@H:18]([CH2:19][CH2:20][c:21]1[n:22][n:23][n:24][nH:25]1)[c:26]1[n:27][c:28]2[cH:29][c:30]([Cl:31])[cH:32][cH:33][c:34]2[nH:35]1.[OH:101][C:1]([c:2]1[cH:3][c:4]([CH3:5])[c:6]([C:7](=[O:8])[N:9]2[CH2:10][CH2:11][CH2:12][CH2:13]2)[cH:14][cH:15]1)=[O:16].[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1]([c:2]1[cH:3][c:4]([CH3:5])[c:6]([C:7](=[O:8])[N:9]2[CH2:10][CH2:11][CH2:12][CH2:13]2)[cH:14][cH:15]1)(=[O:16])[NH:17][C@@H:18]([CH2:19][CH2:20][c:21]1[n:22][n:23][n:24][nH:25]1)[c:26]1[n:27][c:28]2[cH:29][c:30]([Cl:31])[cH:32][cH:33][c:34]2[nH:35]1,DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (17, 1), ([1, 16], 16), (303, 17.1), ([17.1, 17], 17), (16, [16, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
